video,offset,abs_offset,num_segs,conf,mu,sigma,mu_var,sigma_var,abs_mu
913,-254.0,254.0,32.0,16473.61739343097,-221.39280298115935,700.5645882074919,0.017329771624889776,0.01155318157549234,221.39280298115935
758,-254.0,254.0,32.0,64688.93499603539,-229.94990888227701,621.4510784679338,0.004974999580092981,0.0033166664584378175,229.94990888227701
795,-252.0,252.0,32.0,7796.119564388062,-210.53837750824775,643.3619132193147,0.03987458328161181,0.02658305616186831,210.53837750824775
559,-252.0,252.0,32.0,5870.032737677782,-212.4175595715364,610.6872969619968,0.055791827347751025,0.03719455224167745,212.4175595715364
889,-251.0,251.0,32.0,9546.486299599032,-218.35963699819752,687.4715512873915,0.030474157724587548,0.02031610612547072,218.35963699819752
884,-248.0,248.0,32.0,16075.58591411413,-213.9605896042999,631.256364204307,0.01970867442253088,0.013139116208775878,213.9605896042999
0,-247.0,247.0,32.0,11637.458231147059,-202.46928592400582,732.8325238787611,0.023451310933947273,0.015634207400774935,202.46928592400582
921,-247.0,247.0,32.0,76180.25759941114,-240.57418615045898,667.2202870114389,0.00393476061913398,0.002623173743309933,240.57418615045898
738,-246.0,246.0,32.0,14894.749502113975,-207.08036628082255,650.3635915862249,0.020646220972725483,0.013764147995469997,207.08036628082255
138,-246.0,246.0,32.0,35059.486458475665,-222.27585684886347,659.104874188,0.00865505679232394,0.0057700379967893815,222.27585684886347
439,-244.0,244.0,32.0,2402.7092849436895,-159.48374443867564,773.2916899176184,0.1076429090088386,0.07176194096191356,159.48374443867564
1360,-242.0,242.0,32.0,67011.79929459364,-221.2987493825768,683.5641942905537,0.004366157628244557,0.0029107717283182923,221.2987493825768
1084,-241.0,241.0,32.0,47789.35826041433,-214.719419976438,664.8178468645268,0.006295005698315766,0.0041966705667779835,214.719419976438
764,-239.0,239.0,32.0,8043.207877779209,-177.38568092065847,687.1219576289799,0.03618819112701198,0.02412546126639229,177.38568092065847
1138,-239.0,239.0,32.0,16635.04820577597,-208.72579325032947,625.2859601102834,0.019227696332760464,0.012818464235733658,208.72579325032947
989,-239.0,239.0,32.0,41783.77069319792,-229.1878581224998,694.4824588429731,0.006892251004490661,0.004594833825826484,229.1878581224998
526,-238.0,238.0,32.0,31522.113065670146,-208.71241809230415,669.9215681710833,0.009470888267072744,0.00631392569285885,208.71241809230415
607,-237.0,237.0,32.0,13928.067071604073,-200.41017369543547,703.5216067615586,0.020410878900882806,0.013607253307116351,200.41017369543547
513,-237.0,237.0,32.0,9078.397072137768,-192.99454438476397,677.6595365858818,0.0325094234305719,0.02167295084767749,192.99454438476397
397,-236.0,236.0,32.0,50037.9915283104,-215.9084160733361,682.3511451719052,0.005857633585922642,0.0039050891285634932,215.9084160733361
458,-233.0,233.0,32.0,11958.239822501995,-178.37921631259212,684.9507794701486,0.024417622347565324,0.01627841511456044,178.37921631259212
295,-232.0,232.0,32.0,10568.437861167537,-175.42020508458964,670.7385358422795,0.02821408295407933,0.018809388498827673,175.42020508458964
962,-232.0,232.0,32.0,6678.3288219052065,-173.94940198801814,681.7434329379125,0.04392798008484569,0.029285320710986853,173.94940198801814
644,-231.0,231.0,32.0,23898.936342020235,-192.2856799563528,649.62928831382,0.012882075095261531,0.008588049886035053,192.2856799563528
1349,-231.0,231.0,32.0,18935.753608996394,-199.21347797082186,630.3669999269889,0.016755366513746817,0.011170244589414284,199.21347797082186
903,-230.0,230.0,32.0,347772.06183752074,-225.0221519478265,583.2256210838972,0.0009860494864407656,0.0006573663246853,225.0221519478265
1353,-229.0,229.0,32.0,225352.6060099146,-218.79130727964633,666.6973679398678,0.0013311857820275906,0.0008874572120159122,218.79130727964633
859,-229.0,229.0,32.0,52951.33457506864,-206.60708689937053,633.2099316654212,0.005964930216160405,0.003976620191662778,206.60708689937053
338,-228.0,228.0,32.0,36834.6301486093,-199.48876831684285,661.2823876825861,0.008210823679074771,0.005473882597031324,199.48876831684285
411,-226.0,226.0,32.0,37436.857090338555,-199.28407644400986,680.2566636381812,0.0078534016504362,0.005235601090883468,199.28407644400986
854,-226.0,226.0,32.0,101957.32429950428,-216.88001510297488,652.3732077447545,0.0030068755197741326,0.0020045836755320547,216.88001510297488
794,-226.0,226.0,32.0,14249.372289328512,-186.57365907133297,670.7807559148778,0.02092443151742302,0.013949621434562347,186.57365907133297
56,-225.0,225.0,32.0,205798.6079424721,-219.7960822462054,680.6753786806231,0.0014277347210246171,0.0009518231713780791,219.7960822462054
42,-224.0,224.0,32.0,2328.9637257316012,-109.36321179702213,734.971860355782,0.11684134822688876,0.07789423371841546,109.36321179702213
667,-223.0,223.0,32.0,400420.0021329057,-216.73216748993656,568.9178385943976,0.0008779396850084482,0.0005852931366281188,216.73216748993656
486,-223.0,223.0,32.0,17185.890313599222,-211.74669349209552,723.9259552161197,0.016075474918655606,0.010716983212098593,211.74669349209552
904,-223.0,223.0,32.0,5623.319149573091,-158.1614520290602,696.327851106,0.051076778430794396,0.03405118719261425,158.1614520290602
673,-221.0,221.0,32.0,33654.39976992532,-197.96352257994937,615.7000053068759,0.009652037244473858,0.006434691706901799,197.96352257994937
619,-220.0,220.0,32.0,16079.419120327771,-184.1422313775359,657.3516036203188,0.018921776718782195,0.012614518444747026,184.1422313775359
1122,-220.0,220.0,32.0,87014.09108573032,-215.2918710911245,636.8287143827272,0.003609256690708687,0.0024061712030478306,215.2918710911245
833,-220.0,220.0,32.0,21393.139307014997,-177.71517547425157,708.4387296735825,0.013196330408385774,0.008797554119167291,177.71517547425157
996,-219.0,219.0,32.0,20277.61682297127,-185.28399436820166,656.6689078452,0.015019885773579678,0.010013257665054587,185.28399436820166
1087,-217.0,217.0,32.0,10448.03075644897,-186.56777323005306,629.6067208883696,0.03040368315036918,0.020269123474853407,186.56777323005306
497,-217.0,217.0,32.0,34890.70608187434,-195.96341078954967,606.333301723014,0.009453852358770096,0.006302568362539016,195.96341078954967
613,-216.0,216.0,32.0,8915.376819766585,-162.5368458440941,700.7126585145307,0.0320147657578684,0.0213431776807037,162.5368458440941
1075,-215.0,215.0,32.0,107313.09003768183,-205.77617648024153,609.0926834579255,0.0030598061456372063,0.002039870904931805,205.77617648024153
696,-214.0,214.0,32.0,114880.18630216227,-214.19585271584438,673.171029017869,0.0025861841595298633,0.0017241227987474215,214.19585271584438
271,-214.0,214.0,32.0,91537.62605115642,-195.28229160072814,658.4686899174327,0.0033181439374994092,0.002212095952049886,195.28229160072814
1128,-214.0,214.0,32.0,28540.16157047688,-246.9424189079851,606.6051691102222,0.011552273479359861,0.007701515868073758,246.9424189079851
165,-214.0,214.0,32.0,10224.193938972077,-175.9422838942347,723.8070964169488,0.02702577022582681,0.01801718124709829,175.9422838942347
737,-213.0,213.0,32.0,379556.2678873995,-208.43414380604378,658.5340310060735,0.0008001577300186854,0.0005334385049732024,208.43414380604378
127,-213.0,213.0,32.0,14757.555078671716,-179.19305761911622,681.9872141987274,0.019871898041905235,0.01324793251782909,179.19305761911622
483,-212.0,212.0,32.0,11687.825578572334,-155.7558150375795,682.7294373267797,0.025063842051930862,0.016709228660625446,155.7558150375795
395,-212.0,212.0,32.0,218282.26068190933,-207.5511719069282,616.4349838227441,0.0014863609089202834,0.00099090733721103,207.5511719069282
308,-212.0,212.0,32.0,41641.525824483404,-193.91168253128836,622.9676364511241,0.007709707041862128,0.005139804800842729,193.91168253128836
739,-212.0,212.0,32.0,22644.080150206526,-187.40712395104032,679.4131100018185,0.012999941244570544,0.008666627506166072,187.40712395104032
640,-211.0,211.0,32.0,7329.224605492578,-156.25475966689086,678.1254791082056,0.04024036416906772,0.026826908581036358,156.25475966689086
716,-211.0,211.0,32.0,403349.94893605314,-211.20400815351343,646.7445569599342,0.0007666818939194365,0.0005111212902856197,211.20400815351343
1280,-209.0,209.0,32.0,32681.357317188587,-182.26910189522152,694.2543195777092,0.008814776797115492,0.005876518101180236,182.26910189522152
720,-209.0,209.0,32.0,11901.4773969172,-158.90847183606098,667.903951377136,0.025160258959377985,0.016773507211554597,158.90847183606098
21,-209.0,209.0,32.0,22425.504121373222,-187.59716812853523,701.3903753515133,0.012715340042769866,0.008476893507237555,187.59716812853523
1307,-209.0,209.0,32.0,9138.86412306113,-156.09113672285667,646.7157063047696,0.03383953346532423,0.022559689956757965,156.09113672285667
517,-207.0,207.0,32.0,10459.971504661318,-162.78907567602482,678.408047957348,0.028184381121447603,0.018789588020302162,162.78907567602482
848,-206.0,206.0,32.0,308309.855846857,-214.76221553442105,623.4543925356611,0.00104048997065321,0.0006936599466048309,214.76221553442105
1266,-206.0,206.0,32.0,46364.37679976895,-194.06769670064074,654.8418312306748,0.006587325968728965,0.004391550953272085,194.06769670064074
991,-206.0,206.0,32.0,28369.64571000946,-209.55116226499217,724.340685185494,0.00973269701816556,0.006488464776049126,209.55116226499217
1134,-205.0,205.0,32.0,12235.393230669006,-159.0123843415273,753.0480544317099,0.021706478540971075,0.01447098618437093,159.0123843415273
345,-204.0,204.0,32.0,5857.179137155444,-143.69023505142823,733.3234714143706,0.046563530676792905,0.031042354700305464,143.69023505142823
1086,-204.0,204.0,32.0,9968.053224424968,-160.9790136832148,676.1485025531646,0.029674100066577638,0.01978273274502626,160.9790136832148
835,-204.0,204.0,32.0,11605.948295368089,-153.42718013334797,684.2107609723205,0.02518601536202542,0.01679067721159089,153.42718013334797
984,-203.0,203.0,32.0,127777.54398238374,-192.41930751450494,643.1135405558337,0.0024338163582123904,0.0016225443200821915,192.41930751450494
842,-202.0,202.0,32.0,23909.55984348531,-216.3325528638067,690.6875310253746,0.012110910612793615,0.00807394059314684,216.3325528638067
945,-202.0,202.0,32.0,61032.009318085875,-228.63723038066493,667.0964821420855,0.00491228637244423,0.003274857584995161,228.63723038066493
651,-201.0,201.0,32.0,131935.75751319135,-191.62052070617173,633.6116124469446,0.0023924581663474615,0.0015949721658604532,191.62052070617173
1101,-200.0,200.0,32.0,236688.85446135653,-191.470520155969,587.3003628814467,0.0014387718056429882,0.0009591812304232783,191.470520155969
811,-198.0,198.0,32.0,11743.537030897298,-157.0013681022514,709.7544578060941,0.023995121048741835,0.01599674733086227,157.0013681022514
162,-198.0,198.0,32.0,115673.48541423291,-194.41914541817886,624.8378081785495,0.002767125608967088,0.0018447504431764225,194.41914541817886
730,-197.0,197.0,32.0,29680.5543151589,-167.07269630738617,623.9116058446886,0.010800277734789527,0.007200184976432207,167.07269630738617
417,-196.0,196.0,32.0,43668.762217469695,-177.64931452248354,673.7231280190676,0.006797945167115179,0.004531963484983115,177.64931452248354
657,-194.0,194.0,32.0,17495.65512583136,-163.39453738014066,628.3862688975295,0.018191692224799227,0.01212779430602174,163.39453738014066
230,-194.0,194.0,32.0,30778.004211874268,-171.17754192079158,625.5665026419275,0.010387620038984444,0.0069250804545256525,171.17754192079158
567,-194.0,194.0,32.0,9021.562718199471,-155.22838097448653,618.601029378965,0.03583748998706814,0.023891660121414724,155.22838097448653
912,-194.0,194.0,32.0,3027.1199713468986,-126.15781145803044,721.8099675762273,0.09153295588900542,0.06102197255153441,126.15781145803044
860,-193.0,193.0,32.0,44744.350728956146,-181.86021511721538,616.3248109901726,0.007252406423956682,0.004834937711003833,181.86021511721538
195,-193.0,193.0,32.0,20204.747599536753,-163.94265093734055,691.4833792857115,0.014315114311918516,0.009543409257008539,163.94265093734055
1152,-192.0,192.0,32.0,17293.345899015872,-149.87814286952823,726.9758212098176,0.01590856477763478,0.010605710052742653,149.87814286952823
208,-192.0,192.0,32.0,14758.952927524551,-152.562063734471,650.2758312727644,0.02083899810311721,0.01389266605999745,152.562063734471
650,-192.0,192.0,32.0,6523.483097901518,-132.5176611699784,652.1234997273273,0.04701328559576663,0.03134219045736268,132.5176611699784
755,-192.0,192.0,32.0,24922.35986980969,-157.76106372486885,715.593441359659,0.01121435968593068,0.007476240250627512,157.76106372486885
1184,-192.0,192.0,32.0,7002.453095799991,-121.24438174570659,695.6069455353505,0.04105970997910381,0.02737313946716493,121.24438174570659
609,-191.0,191.0,32.0,6454.383697924201,-147.38852082607326,619.5213335411855,0.050017150934517654,0.03334476767558091,147.38852082607326
751,-191.0,191.0,32.0,3413.7900347860536,-98.2859423162031,757.7009354084955,0.07732062679480643,0.05154708852129596,98.2859423162031
218,-190.0,190.0,32.0,47746.871627457265,-159.29577191891426,666.9978985866595,0.006280013945125967,0.0041866759589778355,159.29577191891426
871,-190.0,190.0,32.0,26294.495782247184,-155.99274712879824,686.7591940146257,0.01107543177351529,0.007383621095218771,155.99274712879824
1106,-189.0,189.0,32.0,14823.661277060191,-145.85180939325875,669.6512511847989,0.020147716364678426,0.013431811893051676,145.85180939325875
400,-189.0,189.0,32.0,9591.780545886839,-136.46030270557893,662.9224902366847,0.03145342974895154,0.020968954815232612,136.46030270557893
1292,-189.0,189.0,32.0,17954.935512920798,-147.42215170851497,656.5818471942988,0.016965133230144,0.011310088900908663,147.42215170851497
1164,-189.0,189.0,32.0,594404.6977978065,-183.3575381703417,621.8770767129172,0.0005410572416504106,0.0003607048343058786,183.3575381703417
100,-188.0,188.0,32.0,31359.654060795307,-170.23815653079433,624.3559008832316,0.010214721065918067,0.0068098141774370876,170.23815653079433
484,-188.0,188.0,32.0,13804.809110404063,-163.00144804141456,691.3944207395311,0.020954327114172448,0.013969551719030722,163.00144804141456
77,-187.0,187.0,32.0,4574.600489094704,-120.89354978979388,656.0478221553585,0.06664097239338854,0.044427316934264105,120.89354978979388
227,-187.0,187.0,32.0,27002.45810357474,-166.69343868045246,619.8578039828077,0.011949084200229,0.007966056772779697,166.69343868045246
839,-187.0,187.0,32.0,844988.0232829818,-191.82207193569414,633.2195770439345,0.0003737877884165665,0.0002491918709966833,191.82207193569414
1014,-186.0,186.0,32.0,29573.453115252025,-160.7967039223229,623.8874539562676,0.010839810897468443,0.007226541091320451,160.7967039223229
1365,-184.0,184.0,32.0,13885.49700050604,-150.60670882074174,618.3549122751704,0.02329328559212965,0.015528857688932989,150.60670882074174
1035,-184.0,184.0,32.0,3351.745122879034,-105.66383046665267,656.2690334424268,0.09092369936622435,0.060615798212122145,105.66383046665267
1347,-184.0,184.0,32.0,303560.87471040915,-180.22482635477425,605.8388170699566,0.001087494587800097,0.0007249964339777239,180.22482635477425
752,-183.0,183.0,32.0,27320.167695432734,-166.1441223899316,637.4974140808424,0.011483339570866825,0.007655560214751548,166.1441223899316
1256,-182.0,182.0,32.0,177572.26432823014,-173.90712636813947,680.3432729822966,0.0016554907863098912,0.0011036605825687196,173.90712636813947
819,-181.0,181.0,32.0,90630.3637438254,-162.29753799620093,649.7353008557586,0.003396407643023837,0.002264271858885165,162.29753799620093
1171,-181.0,181.0,32.0,57094.09607784421,-153.75245880563017,676.4214719734792,0.0051787078191397155,0.003452472142993835,153.75245880563017
359,-181.0,181.0,32.0,103329.17852435156,-177.4558138877084,630.2571899094411,0.0030710664260399077,0.0020473777302314373,177.4558138877084
869,-181.0,181.0,32.0,71696.41278326028,-171.17000407711143,659.3488758146707,0.0042307493718394765,0.0028204997312970548,171.17000407711143
1286,-181.0,181.0,32.0,40154.22764968157,-157.64567937126333,633.1755963647886,0.007866373275693075,0.00524424926481138,157.64567937126333
1088,-180.0,180.0,32.0,12052.262858065607,-135.20692541640307,677.7953843697968,0.024482896329172447,0.016321931914330505,135.20692541640307
198,-179.0,179.0,32.0,17819.321121502537,-137.76883302013556,698.2058828087858,0.016075161236465543,0.010716773755172406,137.76883302013556
79,-178.0,178.0,32.0,40858.70337593918,-154.36837913531542,676.3806718256019,0.007236927576407155,0.004824618385475537,154.36837913531542
451,-178.0,178.0,32.0,3561.3889850881264,-86.60145570652936,754.4555703592684,0.07443495242195554,0.04962330195828228,86.60145570652936
1112,-177.0,177.0,32.0,10524.437178572469,-137.801116931495,679.9933135653253,0.02794643876468803,0.01863095935981661,137.801116931495
1288,-177.0,177.0,32.0,23814.393033873468,-148.27563290930962,643.7840907279865,0.013045184883951531,0.008696790083701448,148.27563290930962
3,-177.0,177.0,32.0,493458.7376354172,-173.5847268245012,610.8852205797198,0.000663467317155629,0.0004423115575619532,173.5847268245012
510,-177.0,177.0,32.0,10224.462972356787,-114.59534534152516,682.4361995860887,0.0286633821194342,0.01910892098767509,114.59534534152516
288,-177.0,177.0,32.0,33877.959330084566,-153.1084795815517,685.0235063899619,0.00861801565963939,0.005745343943373223,153.1084795815517
589,-176.0,176.0,32.0,28773.693401170054,-155.15668750729415,585.9183193870348,0.011863075846986306,0.00790871719555322,155.15668750729415
1160,-176.0,176.0,32.0,106697.94725260691,-162.17230977735227,630.4011312451422,0.0029734247199848453,0.0019822833015538267,162.17230977735227
1208,-176.0,176.0,32.0,30724.170356727358,-162.93146766420213,707.0860660944387,0.009206139513943971,0.006137426588908818,162.93146766420213
800,-175.0,175.0,32.0,5287.412771168682,-93.26334209795658,711.270769570725,0.05318042683172564,0.03545361513139421,93.26334209795658
435,-175.0,175.0,32.0,31986.40425910349,-151.83084570305962,671.2955317338449,0.009314312774692687,0.006209542236633905,151.83084570305962
932,-175.0,175.0,32.0,51743.34136996932,-165.96811713517292,610.9811833759576,0.006326269516750423,0.004217513449158687,165.96811713517292
1024,-175.0,175.0,32.0,111685.79039034515,-158.60490919200677,637.9449543467233,0.0028070417158672623,0.0018713612595084145,158.60490919200677
445,-174.0,174.0,32.0,104636.23540090302,-157.92093361620138,597.762564292612,0.003197563487770722,0.002131708958906452,157.92093361620138
543,-173.0,173.0,32.0,7100.73468740601,-118.41701593071367,694.3744521529777,0.04056327166256265,0.027042182254784886,118.41701593071367
532,-173.0,173.0,32.0,48800.68578188585,-155.7489959921025,640.7028452633227,0.006396573845367438,0.00426438286273544,155.7489959921025
1267,-171.0,171.0,32.0,69412.79946418101,-157.55576100134218,629.0108461307535,0.004580704763127266,0.0030538032473503974,157.55576100134218
478,-171.0,171.0,32.0,9075.744138481838,-129.8206204444397,608.6054757339308,0.03620861360168713,0.024139077661165905,129.8206204444397
502,-170.0,170.0,32.0,441465.54651434376,-163.7106934110461,602.9652658237708,0.0007513475683317373,0.0005008983813767323,163.7106934110461
817,-170.0,170.0,32.0,45946.719467752795,-143.2101317812136,636.7098263017559,0.00683650183185752,0.00455766823389728,143.2101317812136
5,-169.0,169.0,32.0,20608.92865967883,-145.9018381642885,650.1526699266059,0.01492654275993163,0.009951028630032988,145.9018381642885
992,-169.0,169.0,32.0,11961.22240846567,-139.31752302214656,623.4979987240589,0.026817566488854756,0.017878377371191967,139.31752302214656
128,-168.0,168.0,32.0,8137.456667249569,-108.141149322467,663.8649101483785,0.037022146323639295,0.02468143099258786,108.141149322467
121,-168.0,168.0,32.0,34664.67162413543,-146.58980985765143,677.929098184231,0.0085105696436493,0.00567371329259696,146.58980985765143
1143,-168.0,168.0,32.0,30003.173287322737,-138.45548219113743,607.1786735260836,0.0109785831698889,0.0073190555478985396,138.45548219113743
1019,-167.0,167.0,32.0,34195.65413014339,-141.9370623595168,650.8013294592525,0.008986915297270519,0.005991276563529414,141.9370623595168
